entry_time,exit_time,exit_reason,bars_held,gross_return_pct,net_return_pct,mfe_pct,mae_pct,target_multiple_at_entry,stop_multiple_from_entry,ever_broke_entry_high,close_below_entry_ratio
2024-01-19 09:00:00,2024-01-29 09:00:00,take_profit_4atr,18,0.04477267482114011,0.03866945176628933,0.04523424878836835,-0.008077544426494332,3.999999999999993,1.7216494845360848,True,0.0
2024-02-23 10:30:00,2024-03-04 10:30:00,take_profit_4atr,15,0.033877551020408125,0.027837973744556654,0.03571428571428581,-0.017142857142857126,3.9999999999999916,2.3493975903614484,True,0.75
2024-04-02 12:00:00,2024-04-09 10:30:00,take_profit_4atr,8,0.033273056057866235,0.02723701004549528,0.03544303797468351,-0.015189873417721489,4.000000000000008,2.2173913043478235,True,0.6666666666666666
2024-04-26 09:00:00,2024-05-02 12:00:00,stop_loss,11,-0.01842439644218552,-0.024158442707071237,0.019059720457433205,-0.019059720457433316,4.0,1.380952380952381,True,0.4166666666666667
2024-05-13 09:00:00,2024-05-15 09:00:00,take_profit_4atr,6,0.02682926829268295,0.020830864798150328,0.029268292682926855,-0.01097560975609757,4.0,1.3636363636363635,True,0.42857142857142855
2024-05-22 12:00:00,2024-05-30 09:00:00,stop_loss,16,-0.015063731170335992,-0.020817409351581384,0.017381228273464666,-0.02549246813441486,4.0,1.625,True,0.23529411764705882
2024-06-06 09:00:00,2024-06-18 09:00:00,take_profit_4atr,21,0.04533120510774147,0.039224719300136934,0.06145251396648055,-0.01787709497206702,3.9999999999999987,1.9859154929577434,True,0.2727272727272727
2024-07-04 09:00:00,2024-07-08 09:00:00,take_profit_4atr,6,0.038000000000000034,0.031936340714481926,0.040000000000000036,-0.0030000000000000027,4.0,1.3157894736842106,True,0.0
2024-08-16 12:00:00,2024-08-21 12:00:00,stop_loss,9,-0.011006057024671279,-0.016783438822015717,0.010341261633919352,-0.011375387797311287,3.999999999999998,1.392523364485977,True,0.3
2024-09-12 09:00:00,2024-09-24 12:00:00,take_profit_4atr,23,0.04402611203886453,0.037927250161612136,0.046758767268862966,-0.01381509032943673,4.000000000000002,2.2551724137931064,True,0.125
2024-10-22 10:30:00,2024-10-29 09:00:00,stop_loss,14,-0.023809523809523836,-0.029512111907198824,0.014084507042253502,-0.04225352112676062,3.999999999999995,1.245614035087721,True,0.5333333333333333
2024-11-07 12:00:00,2024-11-13 09:00:00,stop_loss,10,-0.019359145527369837,-0.025087731291321136,0.01869158878504673,-0.028037383177570097,4.000000000000003,1.3181818181818223,True,0.36363636363636365
2024-12-17 10:30:00,2024-12-19 10:30:00,stop_loss,6,-0.019179894179894186,-0.024909527072070392,0.0092592592592593,-0.02314814814814814,4.0000000000000036,1.9333333333333396,True,0.2857142857142857
2025-01-20 09:00:00,2025-02-03 09:00:00,stop_loss,9,-0.023174603174603292,-0.028880900272667098,0.022222222222222143,-0.05777777777777782,3.9999999999999956,1.6222222222222282,True,0.3
2025-03-25 10:30:00,2025-03-27 09:00:00,stop_loss,5,-0.014790764790764799,-0.02054603755305262,0.005050505050504972,-0.03131313131313129,4.000000000000011,1.5185185185185153,True,0.6666666666666666
2025-05-12 09:00:00,2025-05-15 09:00:00,take_profit_4atr,9,0.043543095735162574,0.03744705548247196,0.04384133611691032,-0.006263048016701411,3.999999999999995,1.287671232876714,True,0.2
2025-06-04 10:30:00,2025-06-10 09:00:00,take_profit_4atr,11,0.04476093591047814,0.038657781430535776,0.05798575788402838,-0.0010172939979654627,4.0,2.1818181818181817,True,0.0
2025-06-25 09:00:00,2025-07-15 09:00:00,take_profit_4atr,42,0.045606975184440124,0.03949887841750388,0.04694835680751175,-0.009389671361502372,4.000000000000008,1.8235294117647032,True,0.0
2025-07-16 09:00:00,2025-08-07 09:00:00,take_profit_4atr,48,0.03809523809523818,0.03203102245966161,0.04888888888888898,-0.008888888888888835,4.0000000000000036,1.4666666666666728,True,0.02040816326530612
2025-09-09 09:00:00,2025-09-11 09:00:00,take_profit_4atr,6,0.04166666666666674,0.035581587903903644,0.050000000000000044,-0.008333333333333304,4.0,1.4,True,0.14285714285714285
2025-09-23 09:00:00,2025-09-26 09:00:00,stop_loss,9,-0.02148227712137496,-0.02719846023927197,0.018796992481203034,-0.02631578947368418,3.999999999999995,2.1052631578947443,True,0.4
2025-10-29 10:30:00,2025-11-05 09:00:00,stop_loss,14,-0.015137180700094621,-0.020890429813013145,0.009933774834437026,-0.03642384105960261,3.9999999999999942,1.2800000000000018,True,0.6
2025-12-02 09:00:00,2025-12-08 10:30:00,take_profit_4atr,13,0.040959040959041015,0.03487809591611679,0.04195804195804187,-0.006993006993006978,4.000000000000007,1.6829268292682906,True,0.07142857142857142
2025-12-23 10:30:00,2025-12-31 09:00:00,take_profit_4atr,14,0.043436293436293294,0.03734087708798728,0.04729729729729737,0.0,3.9999999999999956,1.000000000000006,True,0.0
