symbol,entry_version,bars,entry_signals_raw,entry_signals_next,trades_or_exits,wins,losses,win_rate,total_return,cagr,max_drawdown,sharpe_like,avg_trade_return,median_trade_return,fib_partial_exits,stop_losses,ema21_trailing_exits,emergency_gap_exits
2317.TW,fired,969,1,1,1,0,1,0.0,-0.016324301509252126,-0.00415281614985008,-0.028796897050906933,-0.32422311107406343,-0.016324301509252237,-0.016324301509252237,0,1,0,0
2317.TW,pullback,969,6,6,3,2,1,0.6666666666666666,0.02361110697055091,0.005917839626129906,-0.03955436556907055,0.22934228137981463,0.02517375172548379,0.028526416594255144,1,1,1,0
2317.TW,strong,969,1,1,1,0,1,0.0,-0.016324301509252126,-0.00415281614985008,-0.028796897050906933,-0.32422311107406343,-0.016324301509252237,-0.016324301509252237,0,1,0,0
2330.TW,fired,969,0,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,0
2330.TW,pullback,969,2,2,3,2,1,0.6666666666666666,0.12369840470692739,0.029926384448734522,-0.07792613376211621,0.6143544201273233,0.09753834352818962,0.0603163094945105,1,1,1,0
2330.TW,strong,969,2,2,3,2,1,0.6666666666666666,0.0718158527074011,0.017690040632712734,-0.03971235590777855,0.5302403838185089,0.062435946856993385,0.040802274900367363,1,1,1,0
0050.TW,fired,970,0,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,0
0050.TW,pullback,970,0,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,0
0050.TW,strong,970,1,1,1,0,1,0.0,-0.04011046428101528,-0.010286503223657428,-0.04011046428101528,-0.5303833766132253,-0.04011046428101528,-0.04011046428101528,0,1,0,0
2454.TW,fired,969,1,1,2,2,0,1.0,0.04362552289296273,0.010854857416304098,-0.028566517708059402,0.41048374588200737,0.04362552289296273,0.04362552289296273,1,0,1,0
2454.TW,pullback,969,16,16,7,4,3,0.5714285714285714,-0.0647471268316483,-0.016782137216530768,-0.1523019830586988,-0.1661031717714344,0.0015926818747300509,0.019556548346303382,2,0,2,3
2454.TW,strong,969,3,3,5,4,1,0.8,0.06751544103946316,0.01665609027049264,-0.06068015311546904,0.31298371216149545,0.03721266990547652,0.047900916706915764,2,1,2,0
2308.TW,fired,969,1,1,2,2,0,1.0,0.03529483662826438,0.008808571046274416,-0.02602885821408396,0.4242519759680817,0.03529483662826449,0.03529483662826449,1,0,1,0
2308.TW,pullback,969,17,17,8,5,3,0.625,0.095942626772626,0.023434072905075265,-0.08736366274213436,0.37661057642839696,0.03520436846752388,0.03545166540015787,3,2,2,1
2308.TW,strong,969,6,6,9,5,4,0.5555555555555556,-0.06643201719144609,-0.017230291094470385,-0.17156752502048744,-0.2555990308425299,0.004488351044458192,0.02129413181631623,3,4,2,0
