strategy,entry_time,exit_time,entry_trade_date,exit_trade_date,entry_price,exit_price,entry_high,entry_atr,stop_price_at_exit,target_price,tightened,target_hit,stop_hit,gross_return_pct,net_return_pct,gross_pnl,net_pnl,buy_fee,sell_fee,sell_tax,total_cost,bars_held,exit_reason,partial_exit_done
fixed_pct_scaleout,2024-01-24 10:30:00,2024-03-07 09:00:00,2024-01-24,2024-03-07,629.0,754.8,629.0,2.5714285714285716,629.0,691.9000000000001,False,True,False,0.19999999999999996,0.19298998926529665,125.79999999999995,121.56368499999995,0.896325,1.07559,2.2643999999999997,4.236314999999999,204,fixed_pct_scaleout_final_take_profit,True
fixed_pct_scaleout,2024-03-21 09:30:00,2024-06-13 09:00:00,2024-03-21,2024-06-13,776.0,931.1999999999999,777.0,4.642857142857143,776.0,853.6,False,True,False,0.19999999999999996,0.19298998926529687,155.19999999999993,149.97363999999993,1.1058000000000001,1.32696,2.7935999999999996,5.22636,503,fixed_pct_scaleout_final_take_profit,True
fixed_pct_scaleout,2024-07-11 10:30:00,2024-07-18 09:00:00,2024-07-11,2024-07-18,1070.0,1016.5,1070.0,11.785714285714286,1016.5,1177.0,False,False,True,-0.050000000000000044,-0.05554959183163988,-53.5,-59.5227625,1.52475,1.4485125,3.0495,6.022762500000001,42,fixed_pct_scaleout_stop_loss,False
fixed_pct_scaleout,2024-08-15 10:30:00,2024-09-04 09:00:00,2024-08-15,2024-09-04,947.0,899.65,948.0,4.928571428571429,899.65,1041.7,False,False,True,-0.050000000000000044,-0.05554959183163988,-47.35000000000002,-52.680426250000025,1.349475,1.28200125,2.69895,5.33042625,123,fixed_pct_scaleout_stop_loss,False
fixed_pct_scaleout,2024-11-11 13:00:00,2024-11-13 13:00:00,2024-11-11,2024-11-13,1090.0,1035.5,1090.0,7.142857142857143,1035.5,1199.0,False,False,True,-0.050000000000000044,-0.055549591831639766,-54.5,-60.6353375,1.55325,1.4755875,3.1065,6.1353375,18,fixed_pct_scaleout_stop_loss,False
fixed_pct_scaleout,2024-12-02 09:30:00,2025-03-03 09:00:00,2024-12-02,2025-03-03,1025.0,1025.0,1030.0,7.214285714285714,1025.0,1127.5,False,False,True,0.0,-0.005841675612252462,0.0,-5.99625,1.460625,1.460625,3.075,5.99625,503,fixed_pct_scaleout_stop_after_partial,True
fixed_pct_scaleout,2025-03-06 10:30:00,2025-03-14 09:00:00,2025-03-06,2025-03-14,1010.0,959.5,1015.0,8.214285714285714,959.5,1111.0,False,False,True,-0.050000000000000044,-0.05554959183163999,-50.5,-56.1850375,1.4392500000000001,1.3672875,2.8785000000000003,5.6850375,51,fixed_pct_scaleout_stop_loss,False
fixed_pct_scaleout,2025-03-25 10:30:00,2025-03-31 09:00:00,2025-03-25,2025-03-31,988.0,938.5999999999999,990.0,5.5,938.5999999999999,1086.8000000000002,False,False,True,-0.050000000000000044,-0.0555495918316401,-49.40000000000009,-54.96120500000009,1.4079000000000002,1.337505,2.8158,5.561204999999999,33,fixed_pct_scaleout_stop_loss,False
fixed_pct_scaleout,2025-04-15 10:30:00,2025-04-22 09:00:00,2025-04-15,2025-04-22,875.0,831.25,876.0,7.428571428571429,831.25,962.5000000000001,False,False,True,-0.050000000000000044,-0.05554959183163999,-43.75,-48.67515625,1.246875,1.18453125,2.49375,4.925156250000001,42,fixed_pct_scaleout_stop_loss,False
fixed_pct_scaleout,2025-04-30 10:30:00,2025-07-01 09:00:00,2025-04-30,2025-07-01,903.0,1083.6,907.0,3.7857142857142856,903.0,993.3000000000001,False,True,False,0.19999999999999996,0.19298998926529687,180.5999999999999,174.5182949999999,1.286775,1.54413,3.2508,6.0817049999999995,375,fixed_pct_scaleout_final_take_profit,True
fixed_pct_scaleout,2025-07-01 10:30:00,2025-09-23 09:00:00,2025-07-01,2025-09-23,1090.0,1308.0,1095.0,7.5,1090.0,1199.0,False,True,False,0.19999999999999996,0.1929899892652971,218.0,210.65885,1.55325,1.8639000000000001,3.924,7.341150000000001,537,fixed_pct_scaleout_final_take_profit,True
fixed_pct_scaleout,2025-11-11 10:30:00,2025-11-18 11:30:00,2025-11-11,2025-11-18,1480.0,1406.0,1480.0,8.571428571428571,1406.0,1628.0000000000002,False,False,True,-0.050000000000000044,-0.05554959183163988,-74.0,-82.33055,2.109,2.00355,4.218,8.33055,47,fixed_pct_scaleout_stop_loss,False
