entry_time,exit_time,entry_price,exit_price,exit_size,stop_price,fib_target,entry_atr,tightened_stop,gross_return_pct,net_return_pct,gross_pnl,net_pnl,total_cost,bars_held,exit_reason
2020-09-18,2020-09-25,424.8544183159811,417.9136625240747,1.0,417.9136625240747,467.77324099989534,14.742748981290053,True,-0.01633678618529577,-0.02208302759210712,-6.940755791906383,-9.395441294675686,2.4546855027693035,5,stop_loss
2020-10-12,2021-01-08,503.5837155296689,592.9010866620353,0.5,483.36937783960906,592.9010866620353,13.830842960099087,True,0.17736350159461067,0.1704857259405892,44.65868556618318,42.98808851462854,1.6705970515546422,63,fib_1272_partial_exit
2020-10-12,2021-03-02,503.5837155296689,638.3455200195312,0.5,483.36937783960906,,13.830842960099087,True,0.26760556454475504,0.2602006240323982,67.38090224493118,65.60975938457308,1.7711428603581019,92,ema21_2bar_trail_exit
2021-09-16,2021-09-22,686.152069874299,675.5066095816603,1.0,675.5066095816603,726.3726152145459,15.07216732575325,True,-0.01551472444670876,-0.021265768071530244,-10.645460292638631,-14.612343739608354,3.966883446969723,2,stop_loss
2021-12-29,2022-01-06,870.6015985545226,822.3811503956355,1.0,822.3811503956355,951.0427015350417,22.397450413213082,True,-0.05538750243389001,-0.060905622223950906,-48.220448158887166,-53.100092027328046,4.879643868440882,5,stop_loss
2022-03-01,2022-03-04,815.26674860174,782.0658488948171,1.0,732.0009280254488,921.1808723747823,25.03243309269032,False,-0.04072397134295691,-0.04632775072498119,-33.20089970692288,-37.82329620503993,4.622396498117046,3,emergency_gap_below_ema50
2023-04-06,2023-04-07,627.8508757937002,608.382598912056,1.0,608.382598912056,652.6145239871516,11.356494328592207,False,-0.031007803974205328,-0.03666834205419245,-19.468276881644215,-23.055057379836086,3.5867804981918705,1,stop_loss
2023-05-22,2023-05-29,569.44616906998,604.6753953294149,0.5,565.332315127399,604.6753953294149,8.980882514666291,True,0.06186577094191592,0.05566269556431869,17.61461312971744,15.871038422088748,1.7435747076286914,5,fib_1272_partial_exit
2023-05-22,2023-07-10,569.44616906998,604.44677734375,0.5,565.332315127399,,8.980882514666291,True,0.061464296670803886,0.055263566575665335,17.500304136885006,15.757235246549598,1.7430688903354077,33,ema21_2bar_trail_exit
2024-12-06,2024-12-16,1248.5855885940493,1348.757877445792,0.5,1202.1422236776998,1348.757877445792,32.308425555517665,True,0.08022861209261611,0.0739182669536973,50.08614442587134,46.21240039014926,3.8737440357220754,6,fib_1272_partial_exit
2024-12-06,2025-03-07,1248.5855885940493,1409.396728515625,0.5,1202.1422236776998,,32.308425555517665,True,0.1287946468312633,0.12220059467162803,80.40556996078783,76.39766246707374,4.007907493714081,56,ema21_2bar_trail_exit
2025-08-28,2025-09-09,1368.4721900031025,1443.3409204097877,0.5,1339.0426856441647,1443.3409204097877,29.42951592582116,True,0.05470972004664221,0.04854844799704017,37.43436520334262,33.26593698155875,4.168428221783866,8,fib_1272_partial_exit
2025-08-28,2025-09-22,1368.4721900031025,1378.281982421875,0.5,1339.0426856441647,,29.42951592582116,True,0.0071684265785119106,0.0012848753435374949,4.904896209386266,0.8804108879006565,4.024485321485609,17,ema21_2bar_trail_exit
